U(t) t
0.200 0.000
0.202 0.101
0.204 0.201
0.206 0.302
0.208 0.402
0.210 0.503
0.212 0.603
0.215 0.704
0.217 0.804
0.219 0.905
0.221 1.005
0.223 1.106
0.225 1.206
0.228 1.307
0.230 1.407
0.232 1.508
0.235 1.608
0.237 1.709
0.239 1.809
0.242 1.910
0.244 2.010
0.247 2.111
0.249 2.211
0.252 2.312
0.254 2.412
0.257 2.513
0.259 2.613
0.262 2.714
0.265 2.814
0.267 2.915
0.270 3.015
0.273 3.116
0.275 3.216
0.278 3.317
0.281 3.417
0.284 3.518
0.287 3.618
0.290 3.719
0.292 3.819
0.295 3.920
0.298 4.020
0.301 4.121
0.304 4.221
0.307 4.322
0.311 4.422
0.314 4.523
0.317 4.623
0.320 4.724
0.323 4.824
0.326 4.925
0.330 5.025
0.333 5.126
0.336 5.226
0.340 5.327
0.343 5.427
0.347 5.528
0.350 5.628
0.354 5.729
0.357 5.829
0.361 5.930
0.364 6.030
0.368 6.131
0.372 6.231
0.376 6.332
0.379 6.432
0.383 6.533
0.387 6.633
0.391 6.734
0.395 6.834
0.399 6.935
0.403 7.035
0.407 7.136
0.411 7.236
0.415 7.337
0.419 7.437
0.423 7.538
0.428 7.638
0.432 7.739
0.436 7.839
0.441 7.940
0.445 8.040
0.450 8.141
0.454 8.241
0.459 8.342
0.463 8.442
0.468 8.543
0.473 8.643
0.477 8.744
0.482 8.844
0.487 8.945
0.492 9.045
0.497 9.146
0.502 9.246
0.507 9.347
0.512 9.447
0.517 9.548
0.522 9.648
0.528 9.749
0.533 9.849
0.538 9.950
0.544 10.050
0.549 10.151
0.555 10.251
0.560 10.352
0.566 10.452
0.572 10.553
0.577 10.653
0.583 10.754
0.589 10.854
0.595 10.955
0.601 11.055
0.607 11.156
0.613 11.256
0.619 11.357
0.625 11.457
0.632 11.558
0.638 11.658
0.644 11.759
0.651 11.859
0.657 11.960
0.664 12.060
0.671 12.161
0.677 12.261
0.684 12.362
0.691 12.462
0.698 12.563
0.705 12.663
0.712 12.764
0.719 12.864
0.727 12.965
0.734 13.065
0.741 13.166
0.749 13.266
0.756 13.367
0.764 13.467
0.771 13.568
0.779 13.668
0.787 13.769
0.795 13.869
0.803 13.970
0.811 14.070
0.819 14.171
0.827 14.271
0.836 14.372
0.844 14.472
0.853 14.573
0.861 14.673
0.870 14.774
0.879 14.874
0.887 14.975
0.896 15.075
0.905 15.176
0.914 15.276
0.924 15.377
0.933 15.477
0.942 15.578
0.952 15.678
0.961 15.779
0.971 15.879
0.981 15.980
0.991 16.080
1.001 16.181
1.011 16.281
1.021 16.382
1.031 16.482
1.041 16.583
1.052 16.683
1.062 16.784
1.073 16.884
1.084 16.985
1.095 17.085
1.106 17.186
1.117 17.286
1.128 17.387
1.139 17.487
1.151 17.588
1.163 17.688
1.174 17.789
1.186 17.889
1.198 17.990
1.210 18.090
1.222 18.191
1.234 18.291
1.247 18.392
1.259 18.492
1.272 18.593
1.285 18.693
1.298 18.794
1.311 18.894
1.324 18.995
1.337 19.095
1.351 19.196
1.364 19.296
1.378 19.397
1.392 19.497
1.406 19.598
1.420 19.698
1.434 19.799
1.449 19.899
1.463 20.000
